Firstname,Lastname,Department,Officephone,Mobilephone
Helena,Hurtig,VD,80-140101,700-150101
Klas-Christian,Ax,Chef Administration,80-140102,700-150102
Sven,Carlström,Administration,80-140106,
Greta,Haglund,Administration,80-140124,
Thomas,Hedberg,Administration,80-140112,,
Sverker,Olofson,Chef Service/Support,80-140103,700-150103
Anton,Grimlund,Service/Support,80-140107,
Lena,Ax,Service/Support,80-140108,
Viktor,Dellum,Service/Support,80-140109,
Charlotte,Svensson,Service/Support,80-140110,
Karl,Svensson,Service/Support,80-140111,
Pehr,Durham,Service/Support,80-140113,
Ebba,Hurtig,Service/Support,80-140114,
Anna,Larsson,Chef Försäljning/Marknadsföring,80-140104,700-150104
Sofia,Bergström,Försäljning/Marknadsföring,80-140115,700-150115
Kent,Granstedt,Försäljning/Marknadsföring,80-140116,700-150116
Jan,Eriksson,Försäljning/Marknadsföring,80-140117,700-150117
Johan,Svedborg,Försäljning/Marknadsföring,80-140118,700-150118
Anna,Alberg,Försäljning/Marknadsföring,80-140119,700-150119
Katarina,Rudhammar,Försäljning/Marknadsföring,80-140120,700-150120
Lena,Sten,Försäljning/Marknadsföring,80-140121,700-150121
Christian,Singleton,Försäljning/Marknadsföring,80-140122,700-150122
Daniel,Enlund,Försäljning/Marknadsföring,80-140123,700-150123
Egon,Andersson,Chef Utveckling,80-140105,700-150105
Anders,Fogelberg,Utveckling,80-140125,
Gaston,Leblanc,Utveckling,80-140126,
